n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
6,foam_earth,Sphere,Foam,,55,5,,2.77E+05,5.93E+05,,1.92E+05,2.12E+05,,3.00E+05,5,,"https://www.matweb.com/search/DataSheet.aspx?MatGUID=91d44cae736e4b36bcba94720654eeae, https://www.pg.gda.pl/mech/kim/AMS/022006/AMS02200605.pdf"
13,fake_golf_ball,Sphere,Rubber,,75,17.5,,6.37E+05,7.95E+05,,8.07E+05,4.16E+05,,6.37E+05,5,,
23,orange,Sphere,Food,,,,,,,,,,,7.00E+05,5,,"https://www.sciencedirect.com/science/article/pii/S1658077X15000090#:~:text=1.-,The%20elastic%20properties%20of%20orange%20fruits%20subjected%20to%20axial%20and,MPa%2C%200.123%2C%200.010%20MPa."
158,silly_puty,Sphere,Rubber,,,,,,,,,,,1.70E+06,10,,"http://ui.adsabs.harvard.edu/abs/2012AmJPh..80..870C/abstract#:~:text=It%20was%20found%20that%20stress,%C3%97%20104%20Pa%20s."
147,rubber_band_ball,Sphere,Rubber,,,35,,1.35E+06,1.20E+06,,,1.07E+06,,3.00E+06,5,,https://www.matweb.com/search/datasheet.aspx?matguid=6588439546ac4492965c894ddff3f5da
17,apple,Sphere,Food,,,,,,,,,,,3.25E+06,5,,https://www.sciencedirect.com/science/article/abs/pii/S0263224114001729
73,bumpy_ball_eraser,Sphere,Rubber,,,61.5,10,3.52E+06,2.24E+06,2.16E+06,,4.50E+06,2.16E+07,3.52E+06,5,,
185,half_bumpy_ball_eraser,Sphere,Rubber,,,61.5,10,3.52E+06,5.27E+05,2.16E+06,,4.50E+06,2.16E+07,3.52E+06,5,,
105,tennis_ball,Sphere,Rubber,,,,,,,,,,,3.65E+06,5,,https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-article-BPB2-0062-0016/c/httpwww_actawm_pb_edu_plvol5no4wojcickikuleszapucilowskien2010085.pdf
103,lacrosse_ball,Sphere,Rubber,,,45,,1.95E+06,1.52E+06,,,1.84E+06,,1.00E+07,5,,"https://www.matweb.com/search/datasheet.aspx?matguid=6588439546ac4492965c894ddff3f5da&ckck=1, https://onlinelibrary.wiley.com/doi/pdf/10.1002/app.1978.070220514 "
106,baseball,Sphere,Rubber,,,,,,,,,,,6.90E+07,5,,https://ssl.wsu.edu/documents/2015/10/a-dynamic-finite-element-analysis-of-wood-baseball-bats.pdf/
